RNAP,x,t
0,0.0,100.76
1953,0.0,100.76
3906,0.0,100.76
837,0.0,100.76
2790,0.0,100.76
4743,0.0,100.76
1674,0.08,100.76
3627,0.0,100.76
5580,0.0,100.76
558,0.16,100.76
2511,0.0,100.76
4464,0.0,100.76
1395,0.0,100.76
3348,0.0,100.76
5301,0.0,100.76
279,0.72,100.76
2232,0.0,100.76
4185,0.0,100.76
1116,0.04,100.76
3069,0.0,100.76
5022,0.0,100.76
0,0.0,200.96
1953,0.0,200.96
3906,0.0,200.96
837,0.0,200.96
2790,0.08,200.96
4743,0.0,200.96
1674,0.0,200.96
3627,0.0,200.96
5580,0.0,200.96
558,0.24,200.96
2511,0.04,200.96
4464,0.0,200.96
1395,0.0,200.96
3348,0.0,200.96
5301,0.0,200.96
279,0.64,200.96
2232,0.0,200.96
4185,0.0,200.96
1116,0.0,200.96
3069,0.0,200.96
5022,0.0,200.96
0,0.0,300.14
1953,0.0,300.14
3906,0.0357142857143,300.14
837,0.0357142857143,300.14
2790,0.0,300.14
4743,0.0,300.14
1674,0.0,300.14
3627,0.0357142857143,300.14
5580,0.0,300.14
558,0.178571428571,300.14
2511,0.0,300.14
4464,0.0,300.14
1395,0.0,300.14
3348,0.0357142857143,300.14
5301,0.0,300.14
279,0.642857142857,300.14
2232,0.0,300.14
4185,0.0,300.14
1116,0.0357142857143,300.14
3069,0.0,300.14
5022,0.0,300.14
0,0.0,400.09
1953,0.0357142857143,400.09
3906,0.0,400.09
837,0.0,400.09
2790,0.0,400.09
4743,0.0,400.09
1674,0.0714285714286,400.09
3627,0.0,400.09
5580,0.0,400.09
558,0.107142857143,400.09
2511,0.0,400.09
4464,0.0357142857143,400.09
1395,0.0,400.09
3348,0.0,400.09
5301,0.0,400.09
279,0.571428571429,400.09
2232,0.0,400.09
4185,0.0357142857143,400.09
1116,0.107142857143,400.09
3069,0.0,400.09
5022,0.0357142857143,400.09
0,0.0,500.43
1953,0.037037037037,500.43
3906,0.0,500.43
837,0.037037037037,500.43
2790,0.037037037037,500.43
4743,0.0,500.43
1674,0.037037037037,500.43
3627,0.0,500.43
5580,0.0,500.43
558,0.037037037037,500.43
2511,0.0740740740741,500.43
4464,0.0,500.43
1395,0.037037037037,500.43
3348,0.0,500.43
5301,0.0740740740741,500.43
279,0.555555555556,500.43
2232,0.037037037037,500.43
4185,0.0,500.43
1116,0.037037037037,500.43
3069,0.0,500.43
5022,0.0,500.43
0,0.0,600.14
1953,0.0357142857143,600.14
3906,0.0357142857143,600.14
837,0.0,600.14
2790,0.0,600.14
4743,0.0,600.14
1674,0.0357142857143,600.14
3627,0.0,600.14
5580,0.0,600.14
558,0.142857142857,600.14
2511,0.107142857143,600.14
4464,0.0,600.14
1395,0.0,600.14
3348,0.0357142857143,600.14
5301,0.0,600.14
279,0.535714285714,600.14
2232,0.0714285714286,600.14
4185,0.0,600.14
1116,0.0,600.14
3069,0.0,600.14
5022,0.0,600.14
0,0.0,700.93
1953,0.0,700.93
3906,0.0,700.93
837,0.0357142857143,700.93
2790,0.0,700.93
4743,0.0357142857143,700.93
1674,0.0,700.93
3627,0.0,700.93
5580,0.0,700.93
558,0.214285714286,700.93
2511,0.107142857143,700.93
4464,0.0357142857143,700.93
1395,0.0,700.93
3348,0.0,700.93
5301,0.0,700.93
